date,txn_volume,amount,price,symbol
2011-09-13 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-14 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-15 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-16 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-17 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-18 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-19 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-20 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-21 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-22 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-23 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-24 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-25 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-26 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-27 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-28 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-29 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-09-30 00:00:00+00:00,14.564999999999998,3,4.8549999999999995,BTCUSD
2011-10-01 00:00:00+00:00,14.564999999999998,3,4.8549999999999995,BTCUSD
2011-10-02 00:00:00+00:00,14.564999999999998,3,4.8549999999999995,BTCUSD
2011-10-03 00:00:00+00:00,14.564999999999998,3,4.8549999999999995,BTCUSD
2011-10-04 00:00:00+00:00,68.11,14,4.865,BTCUSD
2011-10-05 00:00:00+00:00,54.175,11,4.925,BTCUSD
2011-10-06 00:00:00+00:00,83.045,17,4.885,BTCUSD
2011-10-07 00:00:00+00:00,43.236,9,4.803999999999999,BTCUSD
2011-10-08 00:00:00+00:00,22.85,5,4.57,BTCUSD
2011-10-09 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-10-10 00:00:00+00:00,51.922000000000004,13,3.994,BTCUSD
2011-10-11 00:00:00+00:00,27.881,7,3.983,BTCUSD
2011-10-12 00:00:00+00:00,27.671000000000003,7,3.9530000000000003,BTCUSD
2011-10-13 00:00:00+00:00,39.330000000000005,10,3.9330000000000003,BTCUSD
2011-10-14 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-10-15 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-10-16 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-10-17 00:00:00+00:00,0.0,0,0.0,BTCUSD
2011-10-18 00:00:00+00:00,13.332,6,2.222,BTCUSD
2011-10-19 00:00:00+00:00,13.332,6,2.222,BTCUSD
2011-10-20 00:00:00+00:00,13.332,6,2.222,BTCUSD
2011-10-21 00:00:00+00:00,8.888,4,2.222,BTCUSD
2011-10-22 00:00:00+00:00,17.94,6,2.99,BTCUSD
