cash,date,BTCUSD
6000.0,2011-09-13,0.0
6000.0,2011-09-14,0.0
6000.0,2011-09-15,0.0
6000.0,2011-09-16,0.0
6000.0,2011-09-17,0.0
6000.0,2011-09-18,0.0
6000.0,2011-09-19,0.0
6000.0,2011-09-20,0.0
6000.0,2011-09-21,0.0
6000.0,2011-09-22,0.0
6000.0,2011-09-23,0.0
6000.0,2011-09-24,0.0
6000.0,2011-09-25,0.0
6000.0,2011-09-26,0.0
6000.0,2011-09-27,0.0
6000.0,2011-09-28,0.0
6000.0,2011-09-29,0.0
5985.4306305,2011-09-30,14.564999999999998
5970.861260999999,2011-10-01,29.129999999999995
5956.291891499999,2011-10-02,43.69499999999999
5941.722521999999,2011-10-03,58.25999999999999
5873.592088999998,2011-10-04,126.36999999999999
5819.400836499999,2011-10-05,180.545
5736.330922999999,2011-10-06,263.59
5693.081952199998,2011-10-07,306.82599999999996
5670.225097199999,2011-10-08,329.67600000000004
5670.225097199998,2011-10-09,329.67600000000004
5618.287520599998,2011-10-10,381.59800000000007
5590.398156299999,2011-10-11,409.47900000000004
5562.718854999998,2011-10-12,437.15
5523.377055999998,2011-10-13,476.47999999999996
5523.377055999999,2011-10-14,476.47999999999996
5523.377055999998,2011-10-15,476.47999999999996
5523.377055999998,2011-10-16,476.47999999999996
5523.377055999998,2011-10-17,476.47999999999996
5510.041056399999,2011-10-18,489.812
5496.7050567999995,2011-10-19,503.144
5483.3690572,2011-10-20,516.476
5474.478390800001,2011-10-21,525.364
5456.5330088,2011-10-22,543.3040000000001
5438.587626799999,2011-10-23,561.2440000000001
5420.642244799999,2011-10-24,579.1840000000002
5386.012859099998,2011-10-25,613.8030000000002
5315.193619699999,2011-10-26,684.6010000000002
5281.380478799999,2011-10-27,718.4040000000002
5247.567337899999,2011-10-28,752.2070000000002
5218.0144746999995,2011-10-29,781.7510000000002
5175.651769699999,2011-10-30,824.1010000000002
5156.1339161,2011-10-31,843.6130000000003
5146.164926299999,2011-11-01,853.5790000000003
5110.1511254,2011-11-02,889.5820000000003
5074.1373244999995,2011-11-03,925.5850000000004
5038.123523600001,2011-11-04,961.5880000000004
5006.013893600001,2011-11-05,993.6880000000004
5006.0138936,2011-11-06,993.6880000000004
5006.013893600001,2011-11-07,993.6880000000004
5006.013893600001,2011-11-08,993.6880000000004
4990.549255600001,2011-11-09,1009.1480000000005
4951.5015448,2011-11-10,1048.1840000000004
4951.5015448,2011-11-11,1048.1840000000004
4951.5015448,2011-11-12,1048.1840000000004
4951.5015448,2011-11-13,1048.1840000000004
4898.3856148,2011-11-14,1101.2840000000003
4871.440533700001,2011-11-15,1128.2210000000002
4871.440533700001,2011-11-16,1128.2210000000002
4868.439633700002,2011-11-17,1131.2210000000002
4848.417628900002,2011-11-18,1151.2370000000003
4838.414628900002,2011-11-19,1161.2370000000003
4838.414628900002,2011-11-20,1161.2370000000003
4767.285296500002,2011-11-21,1232.3450000000003
4686.236989300001,2011-11-22,1313.3690000000001
4686.236989300002,2011-11-23,1313.3690000000001
4686.236989300002,2011-11-24,1313.3690000000001
4643.6902291000015,2011-11-25,1355.9030000000002
4643.6902291000015,2011-11-26,1355.9030000000002
4595.561794900001,2011-11-27,1404.0170000000003
4547.433360700001,2011-11-28,1452.1310000000003
4531.2765151,2011-11-29,1468.2830000000004
4531.2765151,2011-11-30,1468.2830000000004
4451.6036204,2011-12-01,1547.9320000000002
4406.7401654000005,2011-12-02,1592.7820000000002
4406.7401654000005,2011-12-03,1592.7820000000002
4350.263227400001,2011-12-04,1649.2420000000002
4293.786289400001,2011-12-05,1705.7020000000002
4232.8050005000005,2011-12-06,1766.6650000000002
4162.5649348000015,2011-12-07,1836.8840000000002
4126.551133900001,2011-12-08,1872.8870000000002
4123.350173900002,2011-12-09,1876.0870000000002
4120.1492139,2011-12-10,1879.2870000000003
4072.539935400001,2011-12-11,1926.8820000000003
4048.9218521000007,2011-12-12,1950.4930000000004
4029.397996700002,2011-12-13,1970.0110000000004
3998.581754600001,2011-12-14,2000.8180000000007
3964.6415756000015,2011-12-15,2034.7480000000005
3938.609768400002,2011-12-16,2060.7720000000004
3935.357793100001,2011-12-17,2064.0230000000006
3932.1058178000003,2011-12-18,2067.274000000001
3886.5531561000003,2011-12-19,2112.813000000001
3843.7903311000014,2011-12-20,2155.563000000001
3843.790331100001,2011-12-21,2155.563000000001
3843.7903311000014,2011-12-22,2155.563000000001
3789.692106500001,2011-12-23,2209.645000000001
3789.692106500001,2011-12-24,2209.645000000001
3781.049514500001,2011-12-25,2218.2850000000008
3759.678105000002,2011-12-26,2239.6500000000005
3738.021610000002,2011-12-27,2261.3000000000006
3725.138746300003,2011-12-28,2274.1790000000005
3712.225873600002,2011-12-29,2287.0880000000006
3690.9044791000015,2011-12-30,2308.4030000000007
3651.3466153000018,2011-12-31,2347.9490000000005
3642.175864900002,2012-01-01,2357.1170000000006
3642.175864900002,2012-01-02,2357.1170000000006
3599.603096900002,2012-01-03,2399.6770000000006
3550.248294900002,2012-01-04,2449.0170000000007
3498.707837400002,2012-01-05,2500.542000000001
