Date,High,Low,Open,Close,Volume,Adj Close
2015-05-06,4553.330078125,4553.330078125,4553.330078125,4553.330078125,0.0,4553.330078125
2015-05-07,4470.08984375,4470.08984375,4470.08984375,4470.08984375,0.0,4470.08984375
2015-05-08,4558.39990234375,4558.39990234375,4558.39990234375,4558.39990234375,0.0,4558.39990234375
2015-05-11,4690.52978515625,4690.52978515625,4690.52978515625,4690.52978515625,0.0,4690.52978515625
2015-05-12,4747.419921875,4747.419921875,4747.419921875,4747.419921875,0.0,4747.419921875
2015-05-13,4718.43994140625,4718.43994140625,4718.43994140625,4718.43994140625,0.0,4718.43994140625
2015-05-14,4700.77978515625,4700.77978515625,4700.77978515625,4700.77978515625,0.0,4700.77978515625
2015-05-15,4617.47021484375,4617.47021484375,4617.47021484375,4617.47021484375,0.0,4617.47021484375
2015-05-18,4575.14013671875,4575.14013671875,4575.14013671875,4575.14013671875,0.0,4575.14013671875
2015-05-19,4731.22021484375,4731.22021484375,4731.22021484375,4731.22021484375,0.0,4731.22021484375
2015-05-20,4754.919921875,4754.919921875,4754.919921875,4754.919921875,0.0,4754.919921875
2015-05-21,4840.97998046875,4840.97998046875,4840.97998046875,4840.97998046875,0.0,4840.97998046875
2015-05-22,4951.330078125,4951.330078125,4951.330078125,4951.330078125,0.0,4951.330078125
2015-05-25,5099.5,5099.5,5099.5,5099.5,0.0,5099.5
2015-05-26,5198.919921875,5198.919921875,5198.919921875,5198.919921875,0.0,5198.919921875
2015-05-27,5181.43017578125,5181.43017578125,5181.43017578125,5181.43017578125,0.0,5181.43017578125
2015-05-28,4834.009765625,4834.009765625,4834.009765625,4834.009765625,0.0,4834.009765625
2015-05-29,4840.830078125,4840.830078125,4840.830078125,4840.830078125,0.0,4840.830078125
2015-06-01,5076.18017578125,5076.18017578125,5076.18017578125,5076.18017578125,0.0,5076.18017578125
2015-06-02,5161.8701171875,5161.8701171875,5161.8701171875,5161.8701171875,0.0,5161.8701171875
2015-06-03,5143.58984375,5143.58984375,5143.58984375,5143.58984375,0.0,5143.58984375
2015-06-04,5181.419921875,5181.419921875,5181.419921875,5181.419921875,0.0,5181.419921875
2015-06-05,5230.5498046875,5230.5498046875,5230.5498046875,5230.5498046875,0.0,5230.5498046875
2015-06-08,5353.75,5353.75,5353.75,5353.75,0.0,5353.75
2015-06-09,5317.4599609375,5317.4599609375,5317.4599609375,5317.4599609375,0.0,5317.4599609375
2015-06-10,5309.10986328125,5309.10986328125,5309.10986328125,5309.10986328125,0.0,5309.10986328125
2015-06-11,5306.58984375,5306.58984375,5306.58984375,5306.58984375,0.0,5306.58984375
2015-06-12,5335.1201171875,5335.1201171875,5335.1201171875,5335.1201171875,0.0,5335.1201171875
2015-06-15,5221.169921875,5221.169921875,5221.169921875,5221.169921875,0.0,5221.169921875
2015-06-16,5064.81982421875,5064.81982421875,5064.81982421875,5064.81982421875,0.0,5064.81982421875
2015-06-17,5138.830078125,5138.830078125,5138.830078125,5138.830078125,0.0,5138.830078125
2015-06-18,4930.5498046875,4930.5498046875,4930.5498046875,4930.5498046875,0.0,4930.5498046875
2015-06-19,4637.0498046875,4637.0498046875,4637.0498046875,4637.0498046875,0.0,4637.0498046875
2015-06-23,4786.08984375,4786.08984375,4786.08984375,4786.08984375,0.0,4786.08984375
