returns,date
-0.02957605633294656,2011-12-30 00:00:00+00:00
0.03936106744843538,2011-12-31 00:00:00+00:00
0.04338193692627243,2012-01-01 00:00:00+00:00
0.0,2012-01-02 00:00:00+00:00
0.028674735041679066,2012-01-03 00:00:00+00:00
0.028104282659320662,2012-01-04 00:00:00+00:00
0.10473559730457428,2012-01-05 00:00:00+00:00
-0.05739383477799525,2012-01-06 00:00:00+00:00
0.074936386713777,2012-01-07 00:00:00+00:00
0.017428097987934665,2012-01-08 00:00:00+00:00
-0.060431505085469,2012-01-09 00:00:00+00:00
0.07784483594531005,2012-01-10 00:00:00+00:00
-0.012199586947229375,2012-01-11 00:00:00+00:00
-0.043606529170738415,2012-01-12 00:00:00+00:00
0.008282132587489768,2012-01-13 00:00:00+00:00
-0.02787707669550378,2012-01-14 00:00:00+00:00
0.08128416810672838,2012-01-15 00:00:00+00:00
-0.004320472967686378,2012-01-16 00:00:00+00:00
-0.09829455828561252,2012-01-17 00:00:00+00:00
0.11142041596131508,2012-01-18 00:00:00+00:00
-0.07830452702650537,2012-01-19 00:00:00+00:00
0.07438895982121056,2012-01-20 00:00:00+00:00
-0.016823168993897568,2012-01-21 00:00:00+00:00
0.001959474590960452,2012-01-22 00:00:00+00:00
-0.026754310490088303,2012-01-23 00:00:00+00:00
0.0031093520142352286,2012-01-24 00:00:00+00:00
-0.024818299842105315,2012-01-25 00:00:00+00:00
-0.08701651288580636,2012-01-26 00:00:00+00:00
0.04722347846250714,2012-01-27 00:00:00+00:00
-0.11011923055799216,2012-01-28 00:00:00+00:00
0.07526821623131365,2012-01-29 00:00:00+00:00
0.009528468592783279,2012-01-30 00:00:00+00:00
-0.03353857364827451,2012-01-31 00:00:00+00:00
0.07153150193247469,2012-02-01 00:00:00+00:00
0.04696330906651623,2012-02-02 00:00:00+00:00
0.0022647232227393653,2012-02-03 00:00:00+00:00
-0.041567806025841654,2012-02-04 00:00:00+00:00
-0.04109113642356767,2012-02-05 00:00:00+00:00
-1.2433911401375443e-06,2012-02-06 00:00:00+00:00
0.011757308097832913,2012-02-07 00:00:00+00:00
0.022926168051899325,2012-02-08 00:00:00+00:00
0.002875457715932171,2012-02-09 00:00:00+00:00
